IP,Risk_Score,CVSS_v4_Rating,User_Agents,Ports,Device_Types,HTTP_Methods,Location,Suspicious_URIs,Attack_Patterns,OWASP_Top_10,Total_Requests,Unique_URIs,ratio
53.254.234.52,95,9.8,WebExploit|RCEKit|ShellDeploy,"80,443,4443,8443",server,"GET,POST,PUT",North America,"/shell/exec,/cmd/system,/eval/php","Remote code execution, Command injection, PHP evaluation","A1:Broken Access Control, A3:Injection, A4:Insecure Design",90,39,"2,3"
61.189.235.124,95,9.8,KernelExploit|RootKit|PrivilegeEsc,"80,443,2222,3333",server,"GET,POST,HEAD",Asia Pacific,"/kernel/module,/driver/exploit,/syscall/inject","Kernel module exploit, Driver manipulation, Syscall injection","A1:Broken Access Control, A3:Injection, A5:Security Misconfiguration",96,41,"2,3"
83.219.147.192,95,9.8,BuildKit|ArtifactPwn|DepPoison,"80,443,7081,7082",server,"GET,POST,OPTIONS",Europe,"/nuget/package,/artifactory/repo,/nexus/component","Build compromise, Artifact poisoning, Dependency attack","A1:Broken Access Control, A4:Insecure Design, A8:Software and Data Integrity Failures",102,44,"2,3"
156.83.217.194,90,9.7,InfraExploit|ServiceTakeover|DomainAbuse,"80,443,5153,5154","server,desktop","GET,POST,PUT",South America,"/infra/exploit,/service/abuse,/domain/take","Infrastructure exploit, Service abuse, Domain takeover","A3:Injection, A4:Insecure Design, A9:Security Monitoring Failures",93,40,"2,3"
157.92.168.215,90,9.7,RepoExploit|BuildChain|PackageInject,"80,443,6081,6082","server,desktop","GET,POST,PUT",South America,"/composer/pkg,/bitbucket/pipe,/cargo/crate","Repository exploit, Build chain attack, Package injection","A3:Injection, A5:Security Misconfiguration, A8:Software and Data Integrity Failures",97,41,"2,4"
218.154.93.187,90,9.7,FormatString|HeapSpray|KernelBug,"80,443,1111,2222","server,desktop","GET,POST,PUT",Asia,"/format/string,/heap/spray,/kernel/bug","Format string exploit, Heap spraying, Kernel debugging","A3:Injection, A4:Insecure Design, A8:Software and Data Integrity Failures",89,38,"2,3"
88.40.53.243,95,9.7,ShellShock-Scanner|RCE-Test|webshell,"80,443,8080,2375","server,desktop","GET,POST,PUT",Europe,"/cgi-bin/exec,/eval.php,/admin/shell","Remote code execution, System command injection, Administrative access","A3:Injection, A1:Broken Access Control, A4:Insecure Design",106,39,"2,7"
91.234.167.213,95,9.7,VulnScanner|ZeroDetect|ExploitTest,"80,443,7001,7002",server,"GET,POST,HEAD",North America,"/scanner/cve,/detect/vuln,/test/exploit","CVE scanning, Vulnerability detection, Exploit testing","A3:Injection, A4:Insecure Design, A8:Software and Data Integrity Failures",103,45,"2,3"
98.197.20.168,95,9.7,CommandExec|WebShell|NetworkExploit,"80,443,8080,8888","server,desktop","GET,POST,HEAD",Europe,"/system/exec,/shell/upload,/ping/exec","System command execution, Shell upload, Network tool abuse","A1:Broken Access Control, A3:Injection, A5:Security Misconfiguration",103,40,"2,6"
128.174.235.106,90,9.6,ProxyTakeover|DNSHijack|ServicePoison,"80,443,4153,4154",server,"GET,POST,HEAD",Asia,"/proxy/take,/dns/exploit,/service/poison","Proxy takeover, DNS exploitation, Service poisoning","A1:Broken Access Control, A3:Injection, A5:Security Misconfiguration",89,38,"2,3"
147.158.92.176,90,9.6,ResearchKit|DebugTool|POCScanner,"80,443,6001,6002","server,desktop","GET,POST,PUT",Asia Pacific,"/research/debug,/tool/test,/poc/scan","Research debugging, Tool testing, POC scanning","A1:Broken Access Control, A3:Injection, A5:Security Misconfiguration",89,38,"2,3"
162.85.173.124,90,9.6,RCEFramework|CmdInject|ShellKit,"80,443,7443,9443",server,"GET,POST,OPTIONS",Asia Pacific,"/ruby/eval,/perl/exec,/python/system","Command execution, Script injection, System commands","A3:Injection, A4:Insecure Design, A8:Software and Data Integrity Failures",85,36,"2,4"
173.92.148.215,90,9.6,MemExploit|PrivEscKit|KernelFuzz,"80,443,6666,7777",server,"GET,POST,HEAD",Europe,"/memory/exploit,/priv/escalate,/kernel/fuzz","Memory exploitation, Privilege escalation, Kernel fuzzing","A1:Broken Access Control, A3:Injection, A5:Security Misconfiguration",94,40,"2,4"
204.153.96.128,90,9.6,SupplyInject|BuildExploit|PkgPoison,"80,443,5081,5082",server,"GET,POST,HEAD",Asia,"/gem/package,/gradle/build,/npm/module","Supply injection, Build exploitation, Package poisoning","A1:Broken Access Control, A3:Injection, A8:Software and Data Integrity Failures",93,39,"2,4"
75.184.92.163,95,9.6,APT-Toolkit|StealthKit|PersistenceFramework,"80,443,4444,5555","server,desktop","GET,POST,PUT",North America,"/startup/install,/service/exec,/schedule/task","System persistence, Service installation, Scheduled execution","A1:Broken Access Control, A3:Injection, A8:Software and Data Integrity Failures",112,48,"2,3"
116.254.36.200,95,9.5,"Python-urllib/3.8,Burp Suite,curl/7.68.0","80,443,8080",server,"GET,POST,PUT",Multiple,"/admin/config.php,/wp-login.php,/.env","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS,INJECTION_ATTEMPT","A01:2021-Broken Access Control,A03:2021-Injection",743,89,"8,3"
176.224.51.163,95,9.5,ChainBreaker|VulnScanner-0day|UnserializeExec,"80,443,9200,9300",server,"GET,POST,HEAD",Asia,"/chain/exploit,/scanner/inject,/php/unserialize","Supply chain breach, Vulnerability scan, PHP unserialization","A3:Injection, A5:Security Misconfiguration, A8:Software and Data Integrity Failures",112,46,"2,4"
186.234.178.95,95,9.5,"sqlmap/1.6,Acunetix Scanner,Python-urllib3","80,443,8080,22",server,"GET,POST,PUT,DELETE",Multiple,"/admin/config.php,/wp-login.php,/.env","CRITICAL_PATH_ACCESS,INJECTION_ATTEMPT,SENSITIVE_FILE_ACCESS","A01:2021-Broken Access Control,A03:2021-Injection",892,156,"5,7"
192.168.245.147,95,9.5,"Burp Suite Pro,dirb,Nikto","80,443,8443,21,22",server,"GET,POST,HEAD,PUT",eu,"/phpMyAdmin/setup.php,/root/.bash_history,/backup.sql","SYSTEM_ACCESS_ATTEMPT,DANGEROUS_FILE_ACCESS,DATA_THEFT_ATTEMPT","A01:2021-Broken Access Control,A04:2021-Insecure Design",987,178,"5,5"
195.168.142.93,95,9.5,"Nmap Scanner,Burp Suite Pro,Python-urllib3","80,443,8080,22,3306",server,"GET,POST,PUT,DELETE",Multiple,"/admin/config.php,/wp-login.php,/.env","ADMIN_ACCESS_ATTEMPT,INJECTION_ATTEMPT,SENSITIVE_FILE_ACCESS","A01:2021-Broken Access Control,A03:2021-Injection,A05:2021-Security Misconfiguration",876,123,"7,1"
201.234.167.93,95,9.5,"sqlmap/1.6,Acunetix Scanner,Python-urllib3","80,443,8080,22",server,"GET,POST,PUT,DELETE",Multiple,"/admin/config.php,/wp-login.php,/.env","ADMIN_ACCESS_ATTEMPT,INJECTION_ATTEMPT,SENSITIVE_FILE_ACCESS","A01:2021-Broken Access Control,A03:2021-Injection",876,123,"7,1"
207.168.235.92,95,9.5,"sqlmap/1.6,Acunetix Scanner,Python-urllib3","80,443,8080,22",server,"GET,POST,PUT,DELETE",Multiple,"/admin/config.php,/wp-login.php,/.env","ADMIN_ACCESS_ATTEMPT,INJECTION_ATTEMPT,SENSITIVE_FILE_ACCESS","A01:2021-Broken Access Control,A03:2021-Injection",876,123,"7,1"
211.234.178.92,95,9.5,"sqlmap/1.6,Acunetix Scanner,ZAP","80,443,8080,22,3306",server,"GET,POST,PUT,DELETE",Multiple,"/admin/config.php,/wp-admin/setup.php,/.env","CRITICAL_ADMIN_ACCESS,INJECTION_ATTEMPT,DANGEROUS_FILE_ACCESS","A01:2021-Broken Access Control,A03:2021-Injection",823,156,"5,3"
214.192.234.147,95,9.5,"sqlmap/1.6,Acunetix Scanner,Python-urllib3","80,443,8080,22,3306",server,"GET,POST,PUT,DELETE",Multiple,"/admin/config.php,/etc/passwd,/.env","ADMIN_PATH_ACCESS,SYSTEM_PATH_ACCESS,MALICIOUS_PATTERN","A01:2021-Broken Access Control,A03:2021-Injection",876,156,"5,6"
215.192.103.145,90,9.5,ExploitResearch|VulnPOC|ZeroTest,"80,443,5001,5002",server,"GET,POST,HEAD",South America,"/research/exploit,/poc/develop,/test/zero","Exploit research, POC development, Zero-day testing","A3:Injection, A4:Insecure Design, A8:Software and Data Integrity Failures",94,40,"2,4"
218.145.2.167,90,9.5,BackdoorKit|ExecTool|NetworkAbuse,"80,443,6443,7443",server,"GET,POST,PUT",South America,"/cgi-bin/exec,/jsp/shell,/asp/cmd","CGI exploitation, JSP shell execution, ASP commands","A1:Broken Access Control, A3:Injection, A5:Security Misconfiguration",97,42,"2,3"
129.226.154.112,95,9.4,StealthPack|CryptoKit|ObfuscationTool,"80,443,7777,8888","server,desktop","GET,POST,OPTIONS",Asia Pacific,"/payload/encrypt,/binary/pack,/code/obfuscate","Payload encryption, Binary packing, Code obfuscation","A2:Cryptographic Failures, A5:Security Misconfiguration, A8:Software and Data Integrity Failures",106,45,"2,4"
157.185.92.131,95,9.4,0day-Fuzzer|PackageExploit|Marshal-Inject,"80,443,3000,5000",server,"GET,POST,HEAD",North America,"/npm/package,/pip/module,/ruby/marshal","Package infiltration, Module exploitation, Marshal injection","A3:Injection, A5:Security Misconfiguration, A8:Software and Data Integrity Failures",104,44,"2,4"
71.238.129.194,90,9.4,WebExploitKit|CmdShell|SystemExec,"80,443,5443,8443","server,desktop","GET,POST,HEAD",Europe,"/bash/exec,/nc/connect,/curl/fetch","Bash execution, Netcat abuse, Network exploitation","A1:Broken Access Control, A3:Injection, A4:Insecure Design",92,38,"2,4"
175.234.167.92,93,9.3,"OWASP ZAP,Gobuster,wfuzz","80,443,22,3306,1433",desktop,"GET,POST,PUT,TRACE",Multiple,"/wp-admin/shell.php,/proc/self/environ,/config.php","CRITICAL_PATH_ACCESS,SYSTEM_ACCESS_ATTEMPT,CRITICAL_INJECTION","A01:2021-Broken Access Control,A03:2021-Injection",876,165,"5,3"
184.73.251.208,90,9.3,MalwareKit|TrojanDeploy|RootkitInstall,"80,443,8888,9999",server,"GET,POST,HEAD",Europe,"/backdoor/implant,/trojan/setup,/rootkit/init","Malware deployment, Rootkit installation, Backdoor implant","A3:Injection, A4:Insecure Design, A8:Software and Data Integrity Failures",98,43,"2,3"
94.156.27.183,95,9.3,ZeroDay-Scanner|SupplyChainKit|DeserialExploit,"80,443,8080,9001",server,"GET,POST,PUT",Europe,"/package/exploit,/plugin/inject,/module/deserialize","Zero-day exploitation, Supply chain attack, Deserialization","A3:Injection, A5:Security Misconfiguration, A8:Software and Data Integrity Failures",118,47,"2,5"
143.192.219.104,90,9.2,KubeHunter|ContainerExploit|K8sPwn,"80,443,6443,10250",server,"GET,POST,PUT",North America,"/api/v1/pods,/kubelet/exec,/containers/json","Container breakout, Kubernetes exploit, Pod execution","A1:Broken Access Control, A3:Injection, A5:Security Misconfiguration",79,36,"2,2"
167.249.102.171,95,9.2,MemoryCorrupt|StackSmash|HeapOverflow,"80,443,9000,9090",server,"GET,POST,PUT",South America,"/stack/overflow,/heap/corrupt,/memory/spray","Stack smashing, Heap corruption, Memory manipulation","A1:Broken Access Control, A3:Injection, A4:Insecure Design",106,45,"2,4"
216.158.79.143,90,9.2,ImplantKit|PersistTool|StealthLoader,"80,443,6666,7777",server,"GET,POST,PUT",South America,"/registry/mod,/cron/add,/service/create","Registry modification, Cron job creation, Service persistence","A1:Broken Access Control, A3:Injection, A5:Security Misconfiguration",89,38,"2,3"
172.73.227.140,90,9.1,CloudPwn|IAMInject|RoleEscalate,"80,443,4444,4445",server,"GET,POST,OPTIONS",Europe,"/iam/admin,/sts/token,/role/assume","IAM privilege escalation, Role assumption, Token theft","A1:Broken Access Control, A4:Insecure Design, A7:Authentication Failures",105,47,"2,2"
204.145.228.78,91,9.1,"Nmap,hydra,Python-urllib3","80,443,8080,5432,6379",server,"GET,POST,OPTIONS,DELETE",as,"/admin/setup.php,/sys/class/net,/dump.sql","CRITICAL_PATH_ACCESS,SYSTEM_ACCESS_ATTEMPT,DATA_THEFT_ATTEMPT","A01:2021-Broken Access Control,A04:2021-Insecure Design",823,147,"5,6"
23.159.246.188,90,9.1,ADExploit|LDAPInject|KerberosPwn,"80,443,389,636","server,desktop","GET,POST,PUT",North America,"/dc=corp,/cn=users,/ou=admin","Active Directory exploitation, LDAP injection, Kerberos abuse","A1:Broken Access Control, A3:Injection, A7:Authentication Failures",103,40,"2,6"
38.196.147.208,90,9.1,ExploitKit-0day|ModuleScan|PickleExploit,"80,443,8000,8001","server,desktop","GET,POST,PUT",South America,"/module/inject,/pickle/load,/package/exec","Module injection, Pickle exploitation, Package execution","A3:Injection, A4:Insecure Design, A8:Software and Data Integrity Failures",87,38,"2,3"
133.157.216.48,90,9.0,"Nikto Scanner,dirb,Custom Tool","80,443,22",server,"GET,POST,HEAD",eu,"/phpMyAdmin/scripts,/backup.sql,/config.php","SENSITIVE_FILE_ACCESS,INJECTION_ATTEMPT,SERVER_EXPLOIT_ATTEMPT","A03:2021-Injection,A05:2021-Security Misconfiguration",534,67,"8,0"
145.207.91.162,90,9.0,SSOBypass|SAMLInject|FederationPwn,"80,443,8443,9443",server,"GET,POST,HEAD",Europe,"/saml/assertion,/oauth/token,/sso/login","SSO bypass, SAML injection, Federation abuse","A2:Cryptographic Failures, A4:Insecure Design, A7:Authentication Failures",95,43,"2,2"
174.228.156.84,90,9.0,"Burp Suite Pro,dirb,Nikto","80,443,8443",server,"GET,POST,HEAD",eu,"/phpMyAdmin/scripts,/backup.sql,/setup.php","SENSITIVE_FILE_ACCESS,INJECTION_ATTEMPT,DATA_EXFILTRATION","A03:2021-Injection,A04:2021-Insecure Design",765,124,"6,2"
184.234.156.147,90,9.0,"Burp Suite Pro,dirb,Nikto","80,443,8443",server,"GET,POST,HEAD",eu,"/phpMyAdmin/scripts,/backup.sql,/setup.php","SENSITIVE_FILE_ACCESS,INJECTION_ATTEMPT,DATA_EXFILTRATION","A03:2021-Injection,A05:2021-Security Misconfiguration",654,92,"7,1"
186.234.156.123,90,9.0,"Python-requests,sqlmap,curl","80,443,8443,27017,6380",desktop,"GET,POST,PUT,HEAD",eu,"/includes/shell.php,/root/.ssh,/.git","CRITICAL_PATH_ACCESS,SYSTEM_ACCESS_ATTEMPT,DANGEROUS_FILE_ACCESS","A01:2021-Broken Access Control,A04:2021-Insecure Design",765,134,"5,7"
187.234.156.92,90,9.0,"Burp Suite Pro,dirb,Nikto","80,443,8443,21",server,"GET,POST,HEAD,PUT",eu,"/phpMyAdmin/scripts,/root/.bash_history,/backup.sql","SYSTEM_PATH_ACCESS,RISK_FILE_ACCESS,DATA_EXFILTRATION","A01:2021-Broken Access Control,A04:2021-Insecure Design",743,132,"5,6"
187.234.159.76,90,9.0,"sqlmap,dirbuster,Acunetix Scanner","80,443,8443",server,"GET,POST,HEAD",eu,"/phpMyAdmin/scripts,/backup.sql,/wp-admin","SENSITIVE_FILE_ACCESS,INJECTION_ATTEMPT,ADMIN_ACCESS_ATTEMPT","A03:2021-Injection,A05:2021-Security Misconfiguration",654,92,"7,1"
189.192.245.147,90,9.0,"Burp Suite Pro,Nikto,Custom Tool","80,443,8443,21",server,"GET,POST,HEAD,PUT",eu,"/phpMyAdmin/scripts,/etc/passwd,/.git","SYSTEM_PATH_ACCESS,INJECTION_ATTEMPT,DATA_THEFT_ATTEMPT","A01:2021-Broken Access Control,A03:2021-Injection",754,132,"5,7"
193.168.245.76,90,9.0,"Burp Suite Pro,dirb,Nikto","80,443,8443",server,"GET,POST,HEAD",eu,"/phpMyAdmin/scripts,/backup.sql,/setup.php","SENSITIVE_FILE_ACCESS,INJECTION_ATTEMPT,FILE_ACCESS_ATTEMPT","A03:2021-Injection,A05:2021-Security Misconfiguration",654,92,"7,1"
203.71.168.94,90,9.0,N-DayExploit|DependencyCheck|UnserializeKit,"80,443,8082,8084","server,desktop","GET,POST,OPTIONS",Asia Pacific,"/dependency/vuln,/extension/exec,/yaml/deserialize","Dependency exploitation, Extension abuse, YAML deserialization","A1:Broken Access Control, A4:Insecure Design, A8:Software and Data Integrity Failures",96,42,"2,3"
206.242.241.175,85,8.9,LambdaInject|AWSExploit|CloudBreak,"80,443,2375,2376",server,"GET,POST,HEAD",North America,"/lambda/exec,/function/invoke,/aws/secret","Serverless injection, Function abuse, AWS exploitation","A3:Injection, A5:Security Misconfiguration, A8:Software and Data Integrity Failures",52,27,"1,9"
212.143.78.159,90,8.9,KernelFuzz|SystemExploit|RootAccess,"80,443,8888,9999","server,desktop","GET,POST,HEAD",Europe,"/kernel/fuzz,/system/root,/driver/exploit","Kernel fuzzing, Root exploitation, Driver manipulation","A1:Broken Access Control, A3:Injection, A5:Security Misconfiguration",92,40,"2,3"
45.231.168.92,85,8.9,MalwareFramework|CryptoImplant|StealthKit,"80,443,5555,6666","server,desktop","GET,POST,HEAD",Europe,"/encrypt/payload,/compress/bin,/encode/shell","Payload encryption, Binary compression, Shell encoding","A3:Injection, A4:Insecure Design, A8:Software and Data Integrity Failures",94,41,"2,3"
183.96.224.158,90,8.8,BufferOverflow|HeapSpray|FormatString,"80,443,8080,9001","server,desktop","GET,POST,HEAD",Asia Pacific,"/buffer/test,/heap/spray,/format/exploit","Memory corruption, Heap exploitation, Format string attack","A1:Broken Access Control, A3:Injection, A5:Security Misconfiguration",98,43,"2,3"
217.73.154.198,85,8.8,ExchangePwn|Office365Exploit|IMAPInject,"80,443,993,995",server,"GET,POST,OPTIONS",Asia Pacific,"/exchange/admin,/office/mail,/imap/exec","Exchange server exploit, Office365 breach, IMAP injection","A1:Broken Access Control, A3:Injection, A5:Security Misconfiguration",88,37,"2,4"
91.158.63.147,85,8.8,DockerPwn|ContainerEscape|ClusterAdmin,"80,443,10255,10256","server,desktop","GET,POST,PUT",Asia Pacific,"/docker/exec,/swarm/join,/cluster/admin","Container escape, Swarm infiltration, Cluster takeover","A1:Broken Access Control, A3:Injection, A5:Security Misconfiguration",88,39,"2,3"
157.234.198.126,85,8.7,GCPExploit|AzurePwn|CloudConfig,"80,443,9090,9091",server,"GET,POST,HEAD",Europe,"/compute/metadata,/function/config,/cloud/secret","Cloud metadata exposure, Function configuration, Secret access","A2:Cryptographic Failures, A5:Security Misconfiguration, A8:Software and Data Integrity Failures",94,42,"2,2"
52.186.219.47,85,8.7,ADRecon|KerberosExploit|LDAPAdmin,"80,443,88,389","server,desktop","GET,POST,PUT",North America,"/ldap/query,/krb5/ticket,/ad/admin","Directory recon, Kerberos exploitation, LDAP admin","A3:Injection, A4:Insecure Design, A7:Authentication Failures",92,41,"2,2"
198.51.129.183,85,8.6,SAMLforge|OAuthBypass|OpenIDInject,"80,443,8080,8443",server,"GET,POST,HEAD",Europe,"/saml/response,/oidc/auth,/oauth/grant","SAML forgery, OAuth bypass, OpenID injection","A2:Cryptographic Failures, A7:Authentication Failures, A8:Software and Data Integrity Failures",97,44,"2,2"
20.186.223.8,100,8.6,29,66,"desktop,mobile,tablet","GET,POST,OPTIONS,PATCH",Unknown,"/executive/challenge,/middle,/produce",Multiple User-Agents|Port Scanning|Method Variation,"A1:2021-Broken Access Control,A7:2021-Identification and Authentication Failures",66,27,"2,4"
171.40.165.112,100,8.6,32,92,"desktop,mobile,tablet","GET,OPTIONS,PATCH,POST",Unknown,"/administration/oil/through/age,/authority,/resource",Multiple User-Agents|Port Scanning|Method Variation,"A1:2021-Broken Access Control,A7:2021-Identification and Authentication Failures",96,35,"2,7"
154.244.130.33,100,8.6,40,79,"desktop,mobile,tablet","OPTIONS,GET,POST,PUT",Unknown,"/authority,/resource,/technology/cover",Multiple User-Agents|Port Scanning|Method Variation,"A1:2021-Broken Access Control,A7:2021-Identification and Authentication Failures",82,35,"2,3"
127.85.164.239,85,8.5,"OWASP ZAP,Acunetix,wfuzz","80,443,8443",desktop,"GET,POST,PUT",Multiple,"/wp-admin/install.php,/.git,/setup.php","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS,DANGEROUS_METHODS","A01:2021-Broken Access Control,A04:2021-Insecure Design",432,58,"7,4"
133.157.216.48,85,8.5,"Mozilla/5.0,curl/7.64.0","55004,55514,51766",desktop|tablet|mobile,"GET,POST,OPTIONS",us,/manager/same/figure,ADMIN_ACCESS_ATTEMPT,A01:2021-Broken Access Control,102,44,"2,3"
168.192.234.157,85,8.5,"ZAP Scanner,Nikto,Custom Tool","80,443,21",desktop,"GET,POST,PUT",Multiple,"/wp-admin/install.php,/.git,/setup.php","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS,SERVER_EXPLOIT_ATTEMPT","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",543,76,"7,1"
175.234.156.142,85,8.5,"OWASP ZAP,Custom Tool,wfuzz","80,443,21",desktop,"GET,POST,PUT",Multiple,"/wp-admin/install.php,/.git,/config","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS,DANGEROUS_METHODS","A01:2021-Broken Access Control,A04:2021-Insecure Design",543,76,"7,1"
176.234.167.93,85,8.5,"OWASP ZAP,dirb,wfuzz","80,443,22,3306",desktop,"GET,POST,PUT,TRACE",Multiple,"/wp-admin/install.php,/proc/self/environ,/backup.sql","CRITICAL_ADMIN_ACCESS,SYSTEM_PATH_ACCESS,SEVERE_METHOD_USAGE","A01:2021-Broken Access Control,A04:2021-Insecure Design",687,118,"5,8"
192.168.235.147,85,8.5,"OWASP ZAP,Custom Tool,wfuzz","80,443,21",desktop,"GET,POST,PUT",Multiple,"/wp-admin/install.php,/.git,/config","CRITICAL_PATH_ACCESS,SERVER_EXPLOIT_ATTEMPT,AUTH_MANIPULATION","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",654,98,"6,7"
195.168.245.78,85,8.5,"OWASP ZAP,Custom Tool,wfuzz","80,443,22,3306",desktop,"GET,POST,PUT,TRACE",Multiple,"/wp-admin/install.php,/proc/self/environ,/config.bak","ADMIN_PATH_ACCESS,SYSTEM_PATH_ACCESS,SENSITIVE_DIR_ACCESS","A01:2021-Broken Access Control,A04:2021-Insecure Design",654,118,"5,5"
196.192.234.78,85,8.5,"OWASP ZAP,Custom Tool,wfuzz","80,443,21",desktop,"GET,POST,PUT",Multiple,"/wp-admin/install.php,/.git,/config","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS,AUTH_MANIPULATION","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",543,76,"7,1"
41.178.93.206,85,8.5,KernelExploit|RootKit|SystemHack,"80,443,2222,4445",server,"GET,POST,OPTIONS",Africa,"/syscall/inject,/kernel/mod,/root/access","Kernel modification, Root access, System injection","A1:Broken Access Control, A3:Injection, A4:Insecure Design",87,39,"2,2"
77.234.115.192,85,8.4,SystemCrack|KernelFuzzer|ExploitKit,"80,443,445,4444",server,"GET,POST,PUT",Europe,"/kernel/exploit,/driver/module,/system/cmd","Kernel exploitation, Driver manipulation, System commands","A1:Broken Access Control, A3:Injection, A4:Insecure Design",115,48,"2,4"
116.254.36.200,85,8.2,Mozilla/5.0 (compatible; MSIE 9.0)|curl/7.68.0|Python-urllib/3.8,"80,443,8080,22,21","mobile,desktop","GET,POST,PUT,DELETE,OPTIONS",Multiple Countries,"/admin/*,/wp-login.php,/.env","SQL Injection attempts, Directory traversal, Port scanning","A1:Broken Access Control, A3:Injection, A9:Security Logging and Monitoring Failures",1426,83,"17,2"
116.254.36.200,85,8.2,Metasploit|Empire|Cobalt Strike,"80,443,445,3389",server,"GET,POST,OPTIONS",Asia Pacific,"/system32/config,/etc/shadow,/root/.ssh","System file access, Credential theft, SSH key mining","A1:Broken Access Control, A2:Cryptographic Failures, A7:Authentication Failures",67,32,"2,1"
116.254.36.200,85,8.2,Mozilla/5.0 (compatible; MSIE 9.0)|curl/7.68.0|Python-urllib/3.8,"80,443,8080,22,21","mobile,desktop","GET,POST,PUT,DELETE,OPTIONS",Multiple Countries,"/admin/*,/wp-login.php,/.env","SQL Injection attempts, Directory traversal, Port scanning","A1:Broken Access Control, A3:Injection, A9:Security Logging and Monitoring Failures",1423,156,"9,1"
116.254.36.200,82,8.2,"Python-urllib/3.8,curl/7.68.0","80,443,8080",server|desktop,"GET,POST,PUT",Multiple,"/admin/config.php,/wp-login.php","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",743,89,"8,3"
